"Away"  "Draw"  "Home"
"359"  0  0.18  0.82
"360"  0.6  0.17  0.23
"361"  0.15  0.28  0.58
"362"  0.27  0.24  0.49
"363"  0.2  0.35  0.45
"364"  0.85  0.06  0.09
"365"  0.28  0.15  0.57
"366"  0.6  0.16  0.24
"367"  0.78  0.16  0.07
"368"  0.53  0.19  0.27
"369"  0.54  0.21  0.25
"370"  0.11  0.21  0.68
"371"  0.5  0.11  0.39
"372"  0.04  0.27  0.69
"373"  0.18  0.09  0.73
"374"  0.26  0.41  0.33
"375"  0.61  0.17  0.21
"376"  0.16  0.15  0.7
"377"  0.09  0.37  0.54
"378"  0.06  0.35  0.58
"379"  0.38  0.29  0.33
"380"  0  0.16  0.84
"381"  0.6  0.06  0.34
"382"  0.27  0.26  0.47
"383"  0.4  0.22  0.38
"384"  0.08  0.14  0.78
"385"  0.52  0.2  0.27
"386"  0.79  0.14  0.06
"387"  0.72  0.13  0.14
"388"  0.61  0.17  0.22
"389"  0.35  0.14  0.51
"390"  0.74  0.12  0.14
"391"  0.08  0.08  0.84
"392"  0.13  0.4  0.46
"393"  0.2  0.31  0.5
"394"  0  0.16  0.84
"395"  0.11  0.32  0.58
"396"  0.17  0.35  0.48
"397"  0.38  0.26  0.36
"398"  0.16  0.14  0.71
"399"  0.48  0.28  0.24
"400"  0.41  0.14  0.46
"401"  0.47  0.13  0.4
"402"  0.55  0.17  0.28
"403"  0.24  0.23  0.53
"404"  0.12  0.36  0.52
"405"  0  0.25  0.75
"406"  0.28  0.27  0.44
"407"  0.51  0.09  0.4
"408"  0.53  0.08  0.39
"409"  0.53  0.19  0.28
"410"  0.1  0.26  0.63
"411"  0.09  0.33  0.58
"412"  0.52  0.18  0.29
"413"  0.95  0.03  0.03
"414"  0.16  0.12  0.72
"415"  0.09  0.12  0.79
"416"  0.15  0.34  0.51
"417"  0.27  0.39  0.34
"418"  0.74  0.05  0.21
"419"  0  0.22  0.78
"420"  0.09  0.39  0.52
"421"  0.73  0.14  0.13
"422"  0.62  0.17  0.21
"423"  0.65  0.21  0.14
"424"  0.28  0.13  0.59
"425"  0.64  0.16  0.2
"426"  0.17  0.18  0.65
"427"  0.07  0.12  0.81
"428"  0.27  0.09  0.64
"429"  0.13  0.33  0.54
"430"  0.52  0.2  0.28
"431"  0.35  0.21  0.43
"432"  0.48  0.19  0.33
"433"  0.18  0.13  0.69
"434"  0.22  0.46  0.32
"435"  0.08  0.32  0.61
"436"  0.46  0.07  0.47
"437"  0  0.22  0.78
